sample_id,sample_date,k,no3_n,mg,ca,nh4_n
Q2,1993-10-19,1.28,9,3.02,6.32,NA
Q2,1993-10-26,1.78,17,3.46,7.61,NA
Q2,1993-11-02,1.25,10,3.27,6.58,NA
Q2,1993-11-09,1.3,11,2.98,6.54,NA
Q2,1993-11-16,1.57,185,2.76,5.92,NA
Q2,1993-11-23,1.63,47,4.11,8.5,NA
Q2,1993-11-30,1.18,18,2.47,5.44,NA
Q2,1993-12-07,1.14,54,1.66,6.03,NA
Q2,1993-12-14,1.34,20,2.97,6.56,NA
Q2,1993-12-21,1.45,16,2.8,5.95,NA
Q2,1993-12-28,1.81,NA,3.82,7.83,NA
Q2,1994-01-04,1.25,NA,1.56,5.86,NA
Q2,1994-01-11,1.23,NA,1.39,5.25,NA
Q2,1994-01-18,1.39,NA,2.94,5.78,NA
Q2,1994-01-25,1.27,NA,3.13,6.2,NA
Q2,1994-02-01,1.28,NA,2.74,5.47,NA
Q2,1994-02-08,1.54,9,2.86,5.39,NA
Q2,1994-02-15,1.12,NA,3.01,6.24,NA
Q2,1994-02-22,1.59,NA,2.22,5.36,NA
Q2,1994-03-01,1.46,10,2.38,5.48,NA
Q2,1994-03-08,1.27,18,3.08,6.69,NA
Q2,1994-03-15,1.26,NA,3.1,6.64,NA
Q2,1994-03-22,1.31,NA,3.19,7.38,NA
Q2,1994-03-29,1.34,NA,3.27,7.26,NA
Q2,1994-04-05,1.3,NA,3.28,7.3,NA
Q2,1994-04-12,1.19,28,3.05,6.59,NA
Q2,1994-04-19,1.38,94,3,6.59,NA
Q2,1994-04-26,1.21,14,3.22,6.98,NA
Q2,1994-05-03,1.06,11,3.16,7.14,NA
Q2,1994-05-10,1.4,18,2.67,5.81,NA
Q2,1994-05-17,1.27,16,2.67,5.88,NA
Q2,1994-05-24,1.27,18,3.07,6.77,NA
Q2,1994-05-31,1.8,25,4.43,8.93,NA
Q2,1994-06-07,1.51,17,3.43,7.46,NA
Q2,1994-06-14,NA,NA,NA,NA,NA
Q2,1994-06-21,1.62,59,3.28,6.7,NA
Q2,1994-06-28,1.29,6,3.02,6.05,NA
Q2,1994-06-30,1.39,38,2.33,4.94,NA
Q2,1994-07-05,1.29,68,2.91,6.26,NA
Q2,1994-07-12,NA,NA,NA,NA,NA
Q2,1994-07-19,1.52,470,2.48,4.97,NA
Q2,1994-07-26,NA,NA,NA,NA,NA
Q2,1994-08-02,0.27,NA,1.63,2.4,NA
Q2,1994-08-09,1.22,NA,2.53,5.77,NA
Q2,1994-08-16,NA,NA,NA,NA,NA
Q2,1994-08-23,NA,NA,NA,NA,NA
Q2,1994-08-30,NA,NA,NA,NA,NA
Q2,1994-09-06,NA,NA,NA,NA,NA
Q2,1994-09-13,NA,NA,NA,NA,NA
Q2,1994-09-20,1.36,NA,1.64,3.57,NA
Q2,1994-09-27,NA,NA,NA,NA,NA
Q2,1994-10-04,NA,NA,NA,NA,NA
Q2,1994-10-11,NA,NA,NA,NA,NA
Q2,1994-10-18,NA,NA,NA,NA,NA
Q2,1994-10-25,1.28,NA,2.31,5.08,NA
Q2,1994-11-01,NA,NA,NA,NA,NA
Q2,1994-11-08,1.38,NA,1.82,3.64,NA
Q2,1994-11-15,1.13,NA,2.17,4.57,NA
Q2,1994-11-22,1.06,NA,2.2,4.76,NA
Q2,1994-11-29,1.21,NA,2.33,4.81,NA
Q2,1994-12-06,1.17,NA,2.44,5.21,NA
Q2,1994-12-13,1.14,NA,2.62,5.79,NA
Q2,1994-12-20,1.79,NA,3.62,7.97,NA
Q2,1994-12-27,1.15,NA,2.71,5.71,NA
Q3,1988-01-05,0.68,142,2.69,3.7,12
Q3,1988-01-12,0.66,181,2.55,3.6,9
Q3,1988-01-19,0.66,157,2.69,3.65,17
Q3,1988-01-26,0.72,157,3.04,4.17,31
Q3,1988-01-29,0.82,209,2.18,3.19,47
Q3,1988-01-29,0.72,183,2.18,3.11,41
Q3,1988-01-29,0.85,167,2.13,3.03,24
Q3,1988-01-29,0.82,141,2.09,2.93,34
Q3,1988-01-29,NA,209,NA,NA,72
Q3,1988-01-29,NA,NA,NA,NA,75
Q3,1988-01-29,0.78,207,2.24,3.2,52
Q3,1988-02-02,0.76,146,1.96,2.93,15
Q3,1988-02-02,0.71,32,2.2,3.11,55
Q3,1988-02-03,NA,NA,NA,NA,NA
Q3,1988-02-04,NA,NA,NA,NA,NA
Q3,1988-02-09,0.71,170,3.71,2.71,26
Q3,1988-02-10,NA,NA,NA,NA,NA
Q3,1988-02-16,0.68,146,2.65,3.84,16
Q3,1988-02-23,0.68,204,3.01,3.85,23
Q3,1988-03-01,0.67,196,3.02,3.91,15
Q3,1988-03-08,0.56,196,3,3.11,32
Q3,1988-03-15,0.11,215,1.65,3.73,13
Q3,1988-03-23,0.62,219,2.99,3.81,25
Q3,1988-03-29,0.59,200,1.78,2.49,31
Q3,1988-04-05,0.63,207,2.93,3.71,21
Q3,1988-04-12,0.61,210,2.83,3.71,19
Q3,1988-04-19,0.6,191,2.45,3.16,17
Q3,1988-04-26,0.64,208,2.96,3.8,27
Q3,1988-05-03,0.64,201,2.94,3.77,52
Q3,1988-05-10,0.66,224,3.07,3.84,64
Q3,1988-05-10,0.83,186,1.69,2.41,16
Q3,1988-05-10,NA,NA,NA,NA,NA
Q3,1988-05-10,NA,NA,NA,NA,NA
Q3,1988-05-10,NA,NA,NA,NA,NA
Q3,1988-05-17,0.58,176,1.23,1.04,27
Q3,1988-05-24,0.61,206,1.33,1.15,74
Q3,1988-05-31,0.67,178,2.41,2.7,88
Q3,1988-06-07,0.74,206,2.98,3.23,78
Q3,1988-06-14,0.7,NA,2.99,3.24,70
Q3,1988-06-21,0.69,NA,2.16,2.56,NA
Q3,1988-06-28,0.7,NA,2.74,2.98,NA
Q3,1988-07-05,0.7,NA,2.79,2.98,NA
Q3,1988-07-12,0.67,NA,2.77,2.95,NA
Q3,1988-07-19,0.55,NA,2.13,2.72,18
Q3,1988-07-22,0.67,NA,2.36,2.76,NA
Q3,1988-07-26,0.63,NA,2.01,2.45,NA
Q3,1988-07-26,NA,NA,NA,NA,NA
Q3,1988-08-02,0.74,NA,2.93,3.19,19
Q3,1988-08-09,0.72,NA,2.96,3.13,5
Q3,1988-08-16,0.69,NA,2.89,3.15,77
Q3,1988-08-23,0.66,NA,2.63,3.31,NA
Q3,1988-08-24,NA,NA,NA,NA,NA
Q3,1988-08-24,0.64,NA,1.51,2.09,24
Q3,1988-08-24,0.58,NA,1.42,1.99,NA
Q3,1988-08-24,0.45,85,0.67,0.91,NA
Q3,1988-08-24,0.58,NA,2,2.48,NA
Q3,1988-08-30,0.57,151,2.49,3.13,NA
Q3,1988-09-06,0.71,168,2.86,3.69,NA
Q3,1988-09-13,0.52,138,2.03,2.77,8
Q3,1988-09-20,0.59,130,2.49,3.59,NA
Q3,1988-09-27,0.64,127,2.82,3.25,NA
Q3,1988-10-04,0.55,NA,1.98,2.69,64
Q3,1988-10-11,0.6,187,2.71,3.17,38
Q3,1988-10-18,NA,205,NA,NA,57
Q3,1988-10-25,0.69,163,2.44,3.49,NA
Q3,1988-11-01,0.74,202,2.68,3.75,NA
Q3,1988-11-07,0.69,194,2.76,3.94,NA
Q3,1988-11-15,0.71,162,2.64,3.63,NA
Q3,1988-11-22,0.7,170,2.27,NA,NA
Q3,1988-11-29,0.69,179,2.78,3.81,NA
Q3,1988-12-06,0.67,198,2.78,3.88,NA
Q3,1988-12-13,0.77,183,2.91,4.02,NA
Q3,1988-12-20,0.77,205,2.79,3.98,NA
Q3,1988-12-27,0.77,184,2.66,3.75,NA
Q3,1989-01-03,0.75,165,2.87,4,NA
Q3,1989-01-10,0.8,276,2.24,3.45,NA
Q3,1989-01-17,0.78,10,2.72,3.83,NA
Q3,1989-01-24,0.85,196,2.86,4.04,NA
Q3,1989-01-31,0.82,219,2.89,3.94,NA
Q3,1989-02-07,0.85,218,2.82,3.99,NA
Q3,1989-02-14,0.74,227,3,3.85,NA
Q3,1989-02-21,0.72,161,2.75,3.67,NA
Q3,1989-02-28,0.72,146,2.64,3.44,NA
Q3,1989-03-07,0.72,180,2.94,3.9,NA
Q3,1989-03-09,NA,NA,NA,NA,NA
Q3,1989-03-14,0.72,116,2.61,3.55,NA
Q3,1989-03-21,0.7,173,2.84,3.41,NA
Q3,1989-03-28,0.66,182,2.84,3.42,NA
Q3,1989-04-04,0.69,173,2.69,3.77,NA
Q3,1989-04-11,0.69,146,2.4,3.62,NA
Q3,1989-04-18,0.67,147,2.74,4.24,NA
Q3,1989-04-25,0.78,186,2.83,4.31,NA
Q3,1989-05-02,0.78,171,2.95,4.46,NA
Q3,1989-05-09,0.8,143,2.42,3.76,NA
Q3,1989-05-16,0.84,161,2.91,4.14,NA
Q3,1989-05-23,0.7,190,3.04,4.27,NA
Q3,1989-05-30,0.79,163,2.96,4.09,NA
Q3,1989-06-06,0.77,132,3.07,4.02,NA
Q3,1989-06-13,0.62,144,2.95,4.41,NA
Q3,1989-06-20,0.71,17,2.97,4.12,NA
Q3,1989-06-27,0.71,32,3.29,3.73,NA
Q3,1989-07-05,0.75,10,1.59,1.31,NA
Q3,1989-07-11,0.86,132,2.83,3.89,NA
Q3,1989-07-18,0.85,10,2.56,3.94,NA
Q3,1989-07-26,0.81,41,2.73,3.8,NA
Q3,1989-08-01,0.84,159,2.74,3.74,NA
Q3,1989-08-08,0.95,268,3.26,4.2,NA
Q3,1989-08-15,0.82,207,3.06,3.92,NA
Q3,1989-08-22,0.65,142,1.58,2.31,NA
Q3,1989-08-29,NA,233,0.1,3.38,NA
Q3,1989-09-05,0.75,103,2.89,4.07,NA
Q3,1989-09-12,0.78,94,2.92,3.79,NA
Q3,1989-09-20,NA,NA,NA,NA,NA
Q3,1989-09-22,0.89,NA,2.63,3.34,NA
Q3,1989-09-26,1.15,NA,2.86,3.72,NA
Q3,1989-09-26,1.14,NA,2.54,1.5,NA
Q3,1989-10-03,1.02,52,3.04,3.89,NA
Q3,1989-10-05,1,NA,NA,NA,NA
Q3,1989-10-10,0.93,NA,3.03,3.95,NA
Q3,1989-10-17,1.32,173,3.38,4.34,NA
Q3,1989-10-24,1.33,404,3.37,4.4,NA
Q3,1989-10-31,1.48,582,4.17,4.61,NA
Q3,1989-11-07,1.81,657,3.71,4.33,NA
Q3,1989-11-08,3.44,905,3.67,3.33,NA
Q3,1989-11-14,1.58,444,3.47,1.74,NA
Q3,1989-11-21,1.45,340,3.34,3.97,NA
Q3,1989-11-28,1.15,328,3.47,4.89,NA
Q3,1989-12-05,1,315,3.41,5.01,NA
Q3,1989-12-12,1.01,10,3.57,5.15,NA
Q3,1989-12-19,0.99,303,3.55,5.27,NA
Q3,1989-12-26,0.98,361,3.5,5.24,NA
Q3,1990-01-02,2.46,NA,3.8,5.11,NA
Q3,1990-01-09,1.2,304,3.61,5.2,NA
Q3,1990-01-16,1.31,36,3.64,5.33,NA
Q3,1990-01-23,1.32,92,3.55,5.09,NA
Q3,1990-01-30,1.34,34,3.57,5.27,NA
Q3,1990-02-06,1.19,395,3.42,5.16,NA
Q3,1990-02-13,1.44,530,3.72,5.13,NA
Q3,1990-02-20,1.5,395,3.58,5.02,NA
Q3,1990-02-27,1.36,313,3.6,5.04,NA
Q3,1990-03-06,1.26,318,3.7,5.27,NA
Q3,1990-03-13,1.99,56,2.36,3.36,NA
Q3,1990-03-20,1.49,751,3.35,4.64,NA
Q3,1990-03-27,1.5,644,3.08,4.4,NA
Q3,1990-04-03,1.23,NA,3.55,4.94,NA
Q3,1990-04-10,1.15,225,3.63,5.11,NA
Q3,1990-04-17,1.17,148,3.62,5.13,NA
Q3,1990-04-24,1.18,10,3.62,5.19,NA
Q3,1990-04-25,1.72,136,0.45,0.6,NA
Q3,1990-04-25,1.56,970,0.7,0.88,NA
Q3,1990-04-25,1.46,691,0.57,0.71,NA
Q3,1990-04-26,1.45,352,2.4,3.08,NA
Q3,1990-05-01,1.12,262,3.35,4.57,NA
Q3,1990-05-08,1.25,10,3.48,4.86,NA
Q3,1990-05-10,1.59,780,2.02,2.84,NA
Q3,1990-05-15,1.34,373,3.28,4.58,NA
Q3,1990-05-22,1.28,275,3.53,4.8,NA
Q3,1990-05-29,1.37,348,3.24,4.35,NA
Q3,1990-06-05,1.26,188,3.66,4.81,NA
Q3,1990-06-12,1.27,154,3.65,4.76,NA
Q3,1990-06-19,1.26,337,3.44,4.53,NA
Q3,1990-06-26,1.26,379,2.76,3.81,NA
Q3,1990-07-03,1.16,236,3.72,5.09,NA
Q3,1990-07-10,1.14,261,3.69,5.04,NA
Q3,1990-07-17,1.05,97,3.69,5.3,NA
Q3,1990-07-24,1.23,NA,1.97,2.88,NA
Q3,1990-07-31,1.04,142,3.73,5.31,NA
Q3,1990-08-07,1,211,4.05,5.8,NA
Q3,1990-08-14,1.1,424,2.88,8.74,NA
Q3,1990-08-21,1.04,215,3.55,5.06,NA
Q3,1990-08-28,1.01,139,3.51,5.24,NA
Q3,1990-09-04,0.99,10,3.66,5.44,NA
Q3,1990-09-11,0.97,11,3.54,5.3,NA
Q3,1990-09-18,0.97,83,3.52,5.19,NA
Q3,1990-09-25,0.93,105,3.49,5.31,NA
Q3,1990-10-02,0.94,168,2.87,4.26,NA
Q3,1990-10-09,1.04,93,3.35,4.82,NA
Q3,1990-10-16,0.92,108,5.21,10.38,NA
Q3,1990-10-23,0.94,181,2.91,4.26,NA
Q3,1990-10-30,0.95,104,1.7,4.24,NA
Q3,1990-11-06,0.96,178,2.7,3.9,NA
Q3,1990-11-13,0.91,163,3.39,4.6,NA
Q3,1990-11-20,0.86,171,3.54,4.82,NA
Q3,1990-11-27,0.84,234,3.19,4.61,NA
Q3,1990-12-04,1.04,NA,1.76,2.58,NA
Q3,1990-12-04,0.88,164,1.59,6.81,NA
Q3,1990-12-11,0.82,114,3.5,5.07,NA
Q3,1990-12-14,1.76,258,1.72,2.76,NA
Q3,1990-12-18,0.73,322,3.45,4.86,NA
Q3,1990-12-25,0.92,189,3.5,5.01,NA
Q3,1990-12-31,1.12,192,2.32,3.27,NA
Q3,1991-01-08,1.04,168,3.24,4.65,NA
Q3,1991-01-15,0.73,NA,3.22,4.47,NA
Q3,1991-01-22,0.77,111,3.51,4.74,NA
Q3,1991-01-29,0.79,NA,3.38,7.41,NA
Q3,1991-02-05,0.78,11,2.96,4.53,NA
Q3,1991-02-12,0.9,137,8.7,5.43,NA
Q3,1991-02-19,0.86,306,2.57,4.07,NA
Q3,1991-02-26,0.83,174,3.38,4.49,NA
Q3,1991-03-05,0.7,168,3.34,4.82,NA
Q3,1991-03-12,0.74,173,3.28,5,NA
Q3,1991-03-19,0.76,229,3.19,4.69,NA
Q3,1991-03-22,NA,NA,NA,NA,NA
Q3,1991-03-26,0.7,152,3.46,5.13,NA
Q3,1991-04-02,0.76,80,3.5,5.06,NA
Q3,1991-04-09,0.71,23,3.19,4.77,NA
Q3,1991-04-15,0.94,21,3.11,4.42,NA
Q3,1991-04-23,0.94,44,3.11,4.57,NA
Q3,1991-04-30,0.9,92,1.97,2.88,NA
Q3,1991-05-07,0.85,16,3.72,3.7,NA
Q3,1991-05-14,0.85,NA,3.44,3.68,NA
Q3,1991-05-21,0.94,45,3.61,5.1,NA
Q3,1991-05-28,0.86,78,3.08,5.68,NA
Q3,1991-05-31,0.9,NA,3.41,3.64,NA
Q3,1991-06-01,NA,NA,NA,NA,NA
Q3,1991-06-04,0.92,13,3.46,3.7,NA
Q3,1991-06-11,0.87,105,3.39,5,NA
Q3,1991-06-18,0.9,149,3.51,4.89,NA
Q3,1991-06-25,0.9,6,3.46,3.62,NA
Q3,1991-07-02,0.9,184,3.33,3.61,NA
Q3,1991-07-09,0.79,118,3.16,3.52,NA
Q3,1991-07-16,1.31,NA,3.5,5.04,NA
Q3,1991-07-23,0.72,158,3.14,5.06,NA
Q3,1991-07-30,0.66,10,3.27,5,NA
Q3,1991-08-06,0.77,314,4.01,4.1,NA
Q3,1991-08-13,0.78,10,4.44,5.19,NA
Q3,1991-08-20,NA,13,4.3,5.86,NA
Q3,1991-08-27,0.97,26,3.38,5.05,NA
Q3,1991-08-27,2.49,50,1.12,1.63,NA
Q3,1991-09-03,0.92,232,3.38,4.65,NA
Q3,1991-09-10,0.66,93,2.55,4.1,NA
Q3,1991-09-17,0.85,165,3.1,4.76,NA
Q3,1991-09-24,0.72,119,4.42,6.01,NA
Q3,1991-10-01,0.92,97,2.95,4.51,NA
Q3,1991-10-08,0.92,167,3.49,4.84,NA
Q3,1991-10-15,1,186,3.8,5.34,NA
Q3,1991-10-22,0.82,166,3.22,3.82,NA
Q3,1991-10-29,0.42,61,4.88,5.71,NA
Q3,1991-11-05,0.71,163,1.81,5.8,NA
Q3,1991-11-07,1.05,96,1.55,2.08,NA
Q3,1991-11-08,1.12,143,1.81,2.09,NA
Q3,1991-11-12,1.25,271,3.23,3.99,NA
Q3,1991-11-18,0.88,208,3.31,4.68,NA
Q3,1991-11-22,0.89,98,1.64,1.96,NA
Q3,1991-11-26,0.88,197,3.05,3.72,NA
Q3,1991-12-03,0.94,25,2.83,3.43,NA
Q3,1991-12-10,0.8,242,3,3.96,NA
Q3,1991-12-17,0.9,264,3.13,3.66,NA
Q3,1991-12-23,0.75,237,3.12,4.77,NA
Q3,1991-12-30,1.11,254,3.35,7.58,NA
Q3,1992-01-07,1.04,279,2.91,4.31,NA
Q3,1992-01-14,0.92,235,3.1,4.52,NA
Q3,1992-01-21,0.89,218,3.37,5.02,NA
Q3,1992-01-28,0.9,219,3.43,5.4,NA
Q3,1992-02-04,1,94,2.3,2.41,NA
Q3,1992-02-06,1.31,156,2.17,3.36,NA
Q3,1992-02-11,0.94,17,3.18,4.81,NA
Q3,1992-02-18,1.19,144,4.36,6.59,NA
Q3,1992-02-25,0.87,333,3.71,6.37,NA
Q3,1992-03-03,0.89,196,3.85,6.62,NA
Q3,1992-03-10,0.98,162,3.33,4.01,NA
Q3,1992-03-17,1.7,183,3.87,7.11,NA
Q3,1992-03-24,1.81,NA,3.73,7.03,NA
Q3,1992-04-01,1.04,102,3.16,6.09,NA
Q3,1992-04-07,1.31,10,3.13,6.27,NA
Q3,1992-04-14,0.63,14,2.14,8.08,NA
Q3,1992-04-21,0.85,19,3.24,4.31,NA
Q3,1992-04-28,0.96,28,3.36,5.81,NA
Q3,1992-05-05,1.41,168,3.1,4.29,NA
Q3,1992-05-12,0.89,168,3.6,5.04,NA
Q3,1992-05-19,0.8,131,3.84,5.54,NA
Q3,1992-05-26,0.79,NA,2.23,3.25,NA
Q3,1992-06-02,1.09,53,1.28,2.16,NA
Q3,1992-06-09,0.88,10,3.25,4.86,NA
Q3,1992-06-16,0.77,333,1.75,2.5,NA
Q3,1992-06-23,0.83,29,2.16,3.04,NA
Q3,1992-06-30,0.96,32,3.5,5.14,NA
Q3,1992-07-07,1,29,3.48,5.44,NA
Q3,1992-07-14,0.82,43,3.26,4.52,NA
Q3,1992-07-21,0.99,48,3.5,4.97,NA
Q3,1992-07-28,0.83,90,3.34,4.97,NA
Q3,1992-08-04,1.06,26,3.42,4.92,NA
Q3,1992-08-11,0.85,26,1.9,2.87,NA
Q3,1992-08-18,0.83,99,3.54,5.15,NA
Q3,1992-08-25,2.93,11,3.43,4.16,NA
Q3,1992-09-01,0.76,10,0.61,2.46,NA
Q3,1992-09-08,1.1,10,3.83,5.73,NA
Q3,1992-09-15,0.84,38,3.62,5.67,NA
Q3,1992-09-22,0.84,122,2.92,4.07,NA
Q3,1992-09-29,0.9,105,3,4.32,NA
Q3,1992-10-06,0.81,142,3.39,4.39,NA
Q3,1992-10-13,1.09,46,4.48,6.66,NA
Q3,1992-10-20,0.84,7,3.63,5,NA
Q3,1992-10-27,0.86,27,3.48,5.22,NA
Q3,1992-11-03,0.91,116,3.25,4.79,NA
Q3,1992-11-10,0.85,85,2.22,3.02,NA
Q3,1992-11-17,1.61,14,2.91,4.14,NA
Q3,1992-11-24,0.85,10,3.06,4.14,NA
Q3,1992-12-01,0.87,13,2.66,3.58,NA
Q3,1992-12-08,2.08,23,7.51,9.78,NA
Q3,1992-12-15,0.86,21,2.99,4.07,NA
Q3,1992-12-22,NA,NA,NA,NA,NA
Q3,1992-12-22,0.87,NA,1.84,3.24,NA
Q3,1992-12-29,0.98,NA,2.78,4,NA
Q3,1993-01-05,0.79,NA,2.96,4.11,NA
Q3,1993-01-12,0.76,NA,3.02,3.59,NA
Q3,1993-01-19,0.73,NA,3.03,4,NA
Q3,1993-01-26,0.89,NA,2.93,3.55,NA
Q3,1993-02-02,0.79,NA,3.17,4.06,NA
Q3,1993-02-09,1.06,NA,3.37,4.08,NA
Q3,1993-02-16,0.56,NA,2.12,3.69,NA
Q3,1993-02-23,0.84,NA,3.35,4.39,NA
Q3,1993-03-02,0.89,207,3.24,4.87,NA
Q3,1993-03-09,0.66,13,3.49,4.71,NA
Q3,1993-03-16,0.87,210,3.48,4.88,NA
Q3,1993-03-23,0.93,63,3.05,3.92,NA
Q3,1993-03-30,0.78,116,3.42,4.61,NA
Q3,1993-04-06,0.82,168,3.79,5.55,NA
Q3,1993-04-13,0.94,162,3.69,5.39,NA
Q3,1993-04-20,0.97,156,3.28,4.77,NA
Q3,1993-04-27,0.65,145,5.21,2.16,NA
Q3,1993-05-04,0.69,NA,2.73,3.83,NA
