sample_id,sample_date,k,no3_n,mg,ca,nh4_n
Q3,1993-05-11,0.94,NA,2.75,3.62,NA
Q3,1993-05-18,1.25,NA,2.81,3.73,NA
Q3,1993-05-25,0.73,NA,2.62,3.83,NA
Q3,1993-06-01,0.73,16,3.03,4.41,NA
Q3,1993-06-08,NA,NA,NA,NA,NA
Q3,1993-06-15,0.69,8,3.36,4.72,NA
Q3,1993-06-15,NA,NA,NA,NA,NA
Q3,1993-06-22,0.68,36,2.23,3.47,NA
Q3,1993-06-29,1.13,NA,4.64,6.12,NA
Q3,1993-07-06,0.69,176,3.07,4.63,NA
Q3,1993-07-13,0.68,NA,2.97,4.34,NA
Q3,1993-07-20,0.86,NA,1.66,4.35,NA
Q3,1993-07-27,0.85,NA,1.49,4.05,NA
Q3,1993-08-03,0.84,21,3.25,4.91,NA
Q3,1993-08-10,0.86,86,3.35,4.87,NA
Q3,1993-08-17,1.11,80,4.54,6.38,NA
Q3,1993-08-24,0.87,324,3.45,4.84,NA
Q3,1993-08-31,0.76,18,2.6,4.01,NA
Q3,1993-09-07,0.69,88,3.24,4.44,NA
Q3,1993-09-14,1.08,NA,4.08,5.45,NA
Q3,1993-09-21,0.68,124,3.08,4.69,NA
Q3,1993-09-28,1,51,NA,3.99,NA
Q3,1993-10-05,0.62,57,3.13,4.3,NA
Q3,1993-10-13,0.96,16,3.05,4.53,NA
Q3,1993-10-19,0.69,8,1.71,3.69,NA
Q3,1993-10-26,0.74,6,2.95,4.3,NA
Q3,1993-11-02,0.69,NA,3.56,5.11,NA
Q3,1993-11-09,0.78,NA,3.06,4.68,NA
Q3,1993-11-16,0.77,NA,2.39,3.73,NA
Q3,1993-11-23,1.15,54,3.77,5.16,NA
Q3,1993-11-30,0.77,NA,2.33,3.48,NA
Q3,1993-12-07,0.97,NA,3.27,4.82,NA
Q3,1993-12-14,0.97,21,4.08,5.84,NA
Q3,1993-12-21,1.15,22,3.34,3.83,NA
Q3,1993-12-28,0.78,NA,2.62,3.39,NA
Q3,1994-01-04,0.72,NA,1.58,4.12,NA
Q3,1994-01-11,0.67,NA,1.44,3.66,NA
Q3,1994-01-18,0.97,NA,1.62,4.29,NA
Q3,1994-01-25,0.68,10,3.4,4.78,NA
Q3,1994-02-01,0.73,16,3.11,4.12,NA
Q3,1994-02-08,0.83,NA,3.11,4.22,NA
Q3,1994-02-15,0.74,NA,3.32,4.08,NA
Q3,1994-02-22,0.96,NA,2.12,3.09,NA
Q3,1994-03-01,0.9,NA,3.3,4.78,NA
Q3,1994-03-08,0.89,12,3.37,4.89,NA
Q3,1994-03-15,0.84,6,3.41,5.05,NA
Q3,1994-03-22,0.8,NA,3.67,5.62,NA
Q3,1994-03-29,0.96,16,3.73,5.74,NA
Q3,1994-04-05,0.94,13,3.61,5.68,NA
Q3,1994-04-12,0.74,146,3.13,4.68,NA
Q3,1994-04-19,1.08,141,3.47,4.68,NA
Q3,1994-04-26,0.88,22,3.62,5.51,NA
Q3,1994-05-03,0.74,9,3.77,5.87,NA
Q3,1994-05-10,0.82,23,2.62,3.95,NA
Q3,1994-05-17,0.8,22,2.68,3.87,NA
Q3,1994-05-24,0.81,24,3.55,5.18,NA
Q3,1994-05-31,1.03,25,4.68,6.76,NA
Q3,1994-06-07,0.92,8,3.75,5.45,NA
Q3,1994-06-14,0.72,11,3.76,5.54,NA
Q3,1994-06-21,0.98,10,3.82,5.49,NA
Q3,1994-06-28,0.9,NA,3.51,5.08,NA
Q3,1994-06-30,1.09,129,2.26,3.01,NA
Q3,1994-07-05,0.86,7,3.94,5.7,NA
Q3,1994-07-12,0.71,145,3.7,5.47,NA
Q3,1994-07-19,1.05,110,3.6,5.26,NA
Q3,1994-07-26,0.76,NA,3.54,4.95,NA
Q3,1994-08-02,0.83,NA,3.4,4.74,NA
Q3,1994-08-09,0.77,NA,3.38,4.85,NA
Q3,1994-08-16,0.92,NA,3.6,5.04,NA
Q3,1994-08-23,0.99,NA,4.47,5.9,NA
Q3,1994-08-30,0.69,NA,3.52,5.08,NA
Q3,1994-09-06,1.01,NA,4.64,6.98,NA
Q3,1994-09-13,0.72,NA,3.67,5.25,NA
Q3,1994-09-20,0.9,NA,1.48,2.03,NA
Q3,1994-09-27,0.83,NA,3.53,5.34,NA
Q3,1994-10-04,0.86,NA,3.73,5.7,NA
Q3,1994-10-11,0.77,NA,3.09,4.13,NA
Q3,1994-10-18,0.91,NA,3.4,5.18,NA
Q3,1994-10-25,1.03,NA,2.89,3.92,NA
Q3,1994-11-01,0.94,NA,3.51,5.21,NA
Q3,1994-11-08,0.78,NA,2.2,3.18,NA
Q3,1994-11-15,0.8,NA,3.05,4.35,NA
Q3,1994-11-22,0.86,NA,2.99,4.04,NA
Q3,1994-11-29,0.67,NA,2.87,3.98,NA
Q3,1994-12-06,0.73,NA,2.97,4.16,NA
Q3,1994-12-13,0.78,NA,3.11,4.57,NA
Q3,1994-12-20,1.27,NA,3.78,5.37,NA
Q3,1994-12-27,0.8,NA,3.26,4.85,NA
MPR,1989-05-16,0.77,69,1.92,6.15,NA
MPR,1989-05-23,0.72,69,2.41,7.17,NA
MPR,1989-05-30,0.7,79,1.6,5.19,NA
MPR,1989-06-06,0.59,85,1.69,6.6,NA
MPR,1989-06-13,0.65,70,2.06,6.66,NA
MPR,1989-06-20,0.66,71,1.98,7.64,NA
MPR,1989-06-27,0.7,NA,3.31,7.83,NA
MPR,1989-07-05,0.62,10,0.82,3.17,NA
MPR,1989-07-11,0.76,24,1.85,7.94,NA
MPR,1989-07-26,0.69,10,1.5,6.95,NA
MPR,1989-08-01,0.73,90,1.66,7.08,NA
MPR,1989-08-08,0.7,183,1.85,7.4,NA
MPR,1989-08-15,0.74,41,1.87,7.43,NA
MPR,1989-08-22,0.61,114,1.17,5,NA
MPR,1989-08-29,0.56,29,NA,4.3,NA
MPR,1989-09-12,0.6,49,1.42,5.61,NA
MPR,1989-10-03,1.01,80,2.84,4.16,NA
MPR,1989-10-10,1.01,71,2.19,7.94,NA
MPR,1989-10-24,1.17,247,2.23,8.19,NA
MPR,1989-11-07,1.6,614,1.79,6.9,NA
MPR,1989-11-14,1.26,357,1.92,7.34,NA
MPR,1989-11-21,NA,212,NA,NA,NA
MPR,1989-11-28,0.91,170,2.45,10.08,NA
MPR,1989-12-05,0.84,10,2.58,10.72,NA
MPR,1989-12-12,0.44,6,3.62,4.12,NA
MPR,1989-12-19,0.31,NA,NA,NA,NA
MPR,1989-12-26,0.81,179,2.69,11.82,NA
MPR,1990-01-02,1.74,NA,1.8,6.25,NA
MPR,1990-01-09,1.01,113,2.52,10.82,NA
MPR,1990-01-16,1,99,2.35,10.72,NA
MPR,1990-01-23,1.04,24,2.14,8.7,NA
MPR,1990-01-30,0.98,335,2.11,9.27,NA
MPR,1990-02-06,1.04,215,2.33,10.95,NA
MPR,1990-02-13,1.18,308,2.35,9.39,NA
MPR,1990-02-20,1.18,32,2.2,9.05,NA
MPR,1990-02-27,1.02,250,2.18,NA,NA
MPR,1990-03-06,1.06,160,2.44,9.99,NA
MPR,1990-03-13,1.17,333,1,3.84,NA
MPR,1990-03-20,0.95,226,2.21,8.49,NA
MPR,1990-03-27,1.19,336,1.62,5.46,NA
MPR,1990-04-03,0.93,123,2.15,8.32,NA
MPR,1990-04-10,1,124,2.42,10.45,NA
MPR,1990-04-17,0.99,130,2.16,9.07,NA
MPR,1990-04-24,0.99,10,2.41,10.48,NA
MPR,1990-05-01,1.01,183,2.14,8.95,NA
MPR,1990-05-08,1.01,17,2.44,10.49,NA
MPR,1990-05-15,0.95,250,1.7,8.31,NA
MPR,1990-05-22,1,117,2.33,10.22,NA
MPR,1990-05-29,1.07,217,2.12,9.24,NA
MPR,1990-06-05,1.01,212,2.03,8.75,NA
MPR,1990-06-12,1,213,2.11,9.06,NA
MPR,1990-06-19,0.94,184,2.12,8.42,NA
MPR,1990-06-26,0.87,237,1.58,6.25,NA
MPR,1990-07-03,0.95,129,2.42,10.04,NA
MPR,1990-07-10,0.91,153,2.35,9.93,NA
MPR,1990-07-17,0.86,10,2.16,9.08,NA
MPR,1990-07-24,0.98,328,1.13,4.31,NA
MPR,1990-07-31,0.85,115,2.42,10.87,NA
MPR,1990-08-07,0.89,101,2.76,11.45,NA
MPR,1990-08-14,0.83,339,1.15,6.78,NA
MPR,1990-08-21,0.85,127,2.35,10.15,NA
MPR,1990-08-28,0.85,85,2.17,10.11,NA
MPR,1990-09-04,0.85,112,2.12,9.01,NA
MPR,1990-09-11,0.86,67,2.23,10.02,NA
MPR,1990-09-18,0.83,129,1.78,8.39,NA
MPR,1990-09-25,0.86,112,2.3,9.94,NA
MPR,1990-10-02,0.76,88,2.09,8.94,NA
MPR,1990-10-09,0.87,119,1.95,8.3,NA
MPR,1990-10-16,0.78,138,2.17,8.05,NA
MPR,1990-10-23,0.78,170,1.95,8,NA
MPR,1990-10-30,0.71,133,1.36,4.39,NA
MPR,1990-11-06,0.76,7,1.81,6.96,NA
MPR,1990-11-13,0.77,NA,2.36,8.43,NA
MPR,1990-11-20,0.78,171,2.33,9.45,NA
MPR,1990-11-27,0.72,183,1.87,8.49,NA
MPR,1990-12-04,0.7,216,0.36,0.21,NA
MPR,1990-12-11,0.62,89,2.26,9.73,NA
MPR,1990-12-18,0.56,165,2.14,9.49,NA
MPR,1990-12-25,0.75,110,3.36,10.45,NA
MPR,1990-12-31,0.88,158,1.18,4.72,NA
MPR,1991-01-08,0.77,127,1.96,9.05,NA
MPR,1991-01-15,0.59,NA,2.09,8.5,NA
MPR,1991-01-22,0.35,123,3.34,5.02,NA
MPR,1991-01-29,0.66,106,2.34,5.24,NA
MPR,1991-02-05,0.66,234,1.58,6.49,NA
MPR,1991-02-12,0.74,63,2.31,9.52,NA
MPR,1991-02-19,0.62,219,1.36,5.63,NA
MPR,1991-02-26,0.65,32,2.05,7.68,NA
MPR,1991-03-05,0.6,NA,2.09,8.65,NA
MPR,1991-03-12,2.7,114,2.18,9.9,NA
MPR,1991-03-19,0.76,164,1.62,6.9,NA
MPR,1991-03-26,0.63,133,2.14,NA,NA
MPR,1991-04-02,0.67,14,2.23,4.58,NA
MPR,1991-04-15,0.75,29,1.13,4.31,NA
MPR,1991-04-23,0.85,70,1.33,4,NA
MPR,1991-04-30,0.83,55,1.13,4.31,NA
MPR,1991-05-07,0.66,32,0.84,5.02,NA
MPR,1991-05-14,0.73,75,0.84,5.09,NA
MPR,1991-05-21,0.73,45,NA,NA,NA
MPR,1991-05-28,NA,10,0.36,NA,NA
MPR,1991-06-04,0.84,86,0.87,5.08,NA
MPR,1991-06-11,NA,68,0.45,NA,NA
MPR,1991-06-18,NA,54,NA,NA,NA
MPR,1991-06-25,0.79,6,0.87,5.14,NA
MPR,1991-07-02,0.75,138,0.8,5.31,NA
MPR,1991-07-09,0.79,135,0.91,5.06,NA
MPR,1991-07-16,1.02,25,2.23,4.58,NA
MPR,1991-07-23,0.67,10,2.23,4.58,NA
MPR,1991-07-30,0.64,10,2.44,4.26,NA
MPR,1991-08-06,0.75,79,3,10.24,NA
MPR,1991-08-13,0.78,NA,3.27,10.91,NA
MPR,1991-08-20,0.71,NA,2.9,11.19,NA
MPR,1991-08-27,1.08,109,2.97,8.74,NA
MPR,1991-09-03,0.89,15,2.19,7.95,NA
MPR,1991-09-10,1.09,56,2.74,11.21,NA
MPR,1991-09-17,0.79,86,2.39,8.31,NA
MPR,1991-09-24,0.67,94,2.91,11.02,NA
MPR,1991-10-01,0.77,122,1.9,6.18,NA
MPR,1991-10-08,0.79,81,2.22,8.04,NA
MPR,1991-10-15,0.76,285,2.07,7.26,NA
MPR,1991-10-22,0.76,104,2.3,7.33,NA
MPR,1991-10-29,NA,107,NA,NA,NA
MPR,1991-11-05,0.26,100,0.55,1.53,NA
MPR,1991-11-12,0.83,196,2.22,7.1,NA
MPR,1991-11-18,0.92,27,2.62,8.78,NA
MPR,1991-11-26,0.83,114,2.23,6.72,NA
MPR,1991-12-03,0.67,10,1.77,6.48,NA
MPR,1991-12-10,0.74,127,2.04,7.07,NA
MPR,1991-12-17,0.23,128,0.46,0.35,NA
MPR,1991-12-23,0.68,143,2.22,9.57,NA
MPR,1991-12-30,0.71,99,2.3,10.13,NA
MPR,1992-01-07,1.03,196,1.54,6.67,NA
MPR,1992-01-14,0.71,149,1.85,8.11,NA
MPR,1992-01-21,0.79,109,2.26,9.51,NA
MPR,1992-01-28,0.77,94,2.16,9.06,NA
MPR,1992-02-04,0.88,179,2.04,9.2,NA
MPR,1992-02-11,0.9,56,2.52,10.78,NA
MPR,1992-02-18,0.95,35,2.76,11.37,NA
MPR,1992-02-25,0.9,205,2.02,15.31,NA
MPR,1992-03-03,0.82,201,1.96,15.81,NA
MPR,1992-03-10,1.67,109,2.33,11.05,NA
MPR,1992-03-17,0.92,112,2.23,8.29,NA
MPR,1992-03-24,0.93,NA,1.59,2.61,NA
MPR,1992-04-01,1.1,52,1.75,8.54,NA
MPR,1992-04-07,1.06,105,3.47,4.88,NA
MPR,1992-04-14,0.23,48,7.21,NA,NA
MPR,1992-04-21,0.64,27,2.2,8.43,NA
MPR,1992-04-28,1.11,54,2.54,9.9,NA
MPR,1992-05-05,0.73,100,1.73,8.18,NA
MPR,1992-05-12,0.86,28,1.97,8.19,NA
MPR,1992-05-19,0.93,97,2.21,9.37,NA
MPR,1992-05-26,0.94,NA,1.42,5.82,NA
MPR,1992-06-02,0.59,80,0.91,3.47,NA
MPR,1992-06-09,0.89,14,2.15,8.57,NA
MPR,1992-06-16,0.77,35,1.23,4.49,NA
MPR,1992-06-23,0.71,29,1.61,5.92,NA
MPR,1992-06-30,0.86,29,2.63,10.24,NA
MPR,1992-07-07,0.94,29,2.62,10.17,NA
MPR,1992-07-14,0.84,43,2.57,10,NA
MPR,1992-07-21,0.74,43,1.94,7.21,NA
MPR,1992-07-28,0.83,41,1.99,8.38,NA
MPR,1992-08-04,0.8,12,2.17,8.43,NA
MPR,1992-08-11,0.56,47,1,4.01,NA
MPR,1992-08-18,0.69,70,2.27,8.96,NA
MPR,1992-08-25,0.88,79,2.23,9.1,NA
MPR,1992-09-01,1.12,68,3.14,11.62,NA
MPR,1992-09-08,0.89,10,2.69,10.03,NA
MPR,1992-09-15,1.16,11,2.32,9.85,NA
MPR,1992-09-22,0.66,21,1.72,6.96,NA
MPR,1992-09-29,0.7,89,2.02,8.6,NA
MPR,1992-10-06,0.75,164,2.43,9.92,NA
MPR,1992-10-13,0.75,24,2.59,11.18,NA
MPR,1992-10-20,0.71,7,2.37,9.45,NA
MPR,1992-10-27,1.36,24,3.09,13.78,NA
MPR,1992-11-03,0.54,53,1.35,6.32,NA
MPR,1992-11-10,0.54,66,1,3.59,NA
MPR,1992-11-17,0.6,22,1.76,6.54,NA
MPR,1992-11-24,0.67,NA,1.62,6.2,NA
MPR,1992-12-01,0.94,37,1.91,7.38,NA
MPR,1992-12-08,0.65,19,1.99,8.04,NA
MPR,1992-12-15,0.35,14,1.45,7.31,NA
MPR,1992-12-22,NA,NA,NA,NA,NA
MPR,1992-12-29,0.67,NA,1.7,6.87,NA
MPR,1993-01-05,0.76,NA,1.9,7.55,NA
MPR,1993-01-12,0.82,NA,2.06,7.87,NA
MPR,1993-01-19,0.59,NA,2.06,7.93,NA
MPR,1993-01-26,0.75,NA,2.02,7.79,NA
MPR,1993-02-02,0.78,NA,1.97,7.66,NA
MPR,1993-02-09,0.75,NA,2.22,9.21,NA
MPR,1993-02-16,0.53,NA,1.25,5.59,NA
MPR,1993-02-23,0.88,NA,2.09,7.5,NA
MPR,1993-03-02,0.64,78,2.26,9.12,NA
MPR,1993-03-09,0.91,76,2.32,9.09,NA
MPR,1993-03-16,0.78,99,2.32,8.53,NA
MPR,1993-03-23,0.8,46,2.46,9.72,NA
MPR,1993-03-30,0.71,132,2.39,8.79,NA
MPR,1993-04-06,0.85,119,2.46,10.02,NA
MPR,1993-04-13,0.82,57,2.46,10.68,NA
MPR,1993-04-20,0.96,72,2.31,9.75,NA
MPR,1993-04-27,0.78,53,2.36,8.13,NA
MPR,1993-05-04,1.07,68,1.67,6.55,NA
MPR,1993-05-11,0.68,25,1.52,5.78,NA
MPR,1993-05-18,0.81,75,2.04,8.04,NA
MPR,1993-05-25,0.87,11,1.68,6.8,NA
MPR,1993-06-01,0.74,NA,1.74,6.9,NA
MPR,1993-06-08,0.83,56,2.34,9.04,NA
MPR,1993-06-15,NA,NA,NA,NA,NA
MPR,1993-06-15,0.72,17,1.77,7.26,NA
MPR,1993-06-22,1.01,NA,1.89,7.22,NA
MPR,1993-06-29,0.97,NA,3.29,14.36,NA
MPR,1993-07-06,0.64,148,2.19,8.71,NA
MPR,1993-07-13,0.64,NA,1.88,7.99,NA
MPR,1993-07-20,0.76,NA,2.14,8.47,NA
MPR,1993-07-27,0.7,NA,0.93,7.45,NA
MPR,1993-08-03,0.69,6,2.34,9.46,NA
MPR,1993-08-10,NA,NA,NA,NA,NA
MPR,1993-08-17,0.98,40,2.42,9.77,NA
MPR,1993-08-24,0.97,58,2.7,10.85,NA
MPR,1993-08-31,0.76,NA,1.48,6,NA
MPR,1993-09-07,0.96,99,1.9,7.65,NA
MPR,1993-09-14,0.91,56,2.55,10.58,NA
MPR,1993-09-21,0.76,54,1.97,8.35,NA
MPR,1993-09-28,0.35,6,1.44,6.78,NA
MPR,1993-10-05,0.8,19,2.02,7.36,NA
MPR,1993-10-13,0.71,70,2.14,8.03,NA
MPR,1993-10-19,0.59,8,1.14,7.11,NA
MPR,1993-10-26,0.8,83,1.77,7.03,NA
MPR,1993-11-02,0.61,47,2.86,9.12,NA
MPR,1993-11-09,0.65,7,1.61,6.58,NA
MPR,1993-11-16,1.05,53,1.93,6.56,NA
MPR,1993-11-23,0.94,17,2.81,9.7,NA
MPR,1993-11-30,0.6,19,1.38,5.15,NA
MPR,1993-12-07,0.54,NA,2.22,8.14,NA
MPR,1993-12-14,0.7,52,2.35,9.98,NA
MPR,1993-12-21,0.64,25,1.29,5.59,NA
MPR,1993-12-28,0.24,NA,0.52,NA,NA
MPR,1994-01-04,0.56,NA,1.02,7.47,NA
MPR,1994-01-11,0.12,NA,0.18,0.21,NA
MPR,1994-01-18,0.55,NA,1.02,7.12,NA
MPR,1994-01-25,0.59,NA,2.17,8.87,NA
MPR,1994-02-01,0.56,5,1.96,7.52,NA
MPR,1994-02-08,0.69,9,1.95,7.54,NA
MPR,1994-02-15,0.55,NA,2.06,8.1,NA
MPR,1994-02-22,0.54,5,0.97,4,NA
MPR,1994-03-01,0.74,NA,2.08,8.55,NA
MPR,1994-03-08,0.79,NA,2.32,9.86,NA
MPR,1994-03-15,0.72,NA,2.41,10.44,NA
MPR,1994-03-22,0.81,9,2.56,11.28,NA
MPR,1994-03-29,0.77,NA,2.48,11.17,NA
MPR,1994-04-05,0.83,NA,2.63,12.21,NA
MPR,1994-04-12,0.7,NA,1.57,5.97,NA
MPR,1994-04-19,0.61,NA,1.88,8.26,NA
MPR,1994-04-26,0.74,19,2.4,10.82,NA
MPR,1994-05-03,0.77,27,2.59,11.6,NA
MPR,1994-05-10,0.6,19,1.32,5.12,NA
MPR,1994-05-17,1,18,1.61,6.88,NA
MPR,1994-05-24,0.82,19,2.31,10.3,NA
MPR,1994-05-31,1.2,29,3.34,11.44,NA
MPR,1994-06-07,0.8,12,2.18,8.58,NA
MPR,1994-06-14,0.97,15,2.55,10.15,NA
MPR,1994-06-21,0.84,14,2.56,10.04,NA
MPR,1994-06-28,0.82,NA,2.06,9.07,NA
MPR,1994-07-05,0.83,12,2.54,10.16,NA
MPR,1994-07-12,0.49,38,1.94,3.02,NA
MPR,1994-07-19,0.68,59,1.71,7.71,NA
MPR,1994-07-26,1.1,NA,2.43,12.08,NA
MPR,1994-08-02,0.73,NA,2.28,9.2,NA
MPR,1994-08-09,0.88,179,3.72,5.29,NA
MPR,1994-08-16,0.77,NA,2.18,11.23,NA
MPR,1994-08-23,0.85,NA,2.42,11.67,NA
MPR,1994-08-30,1.03,NA,3.25,11.65,NA
MPR,1994-09-06,0.97,NA,2.18,8.32,NA
MPR,1994-09-13,0.79,NA,2.33,9.85,NA
MPR,1994-09-20,0.73,NA,1.07,3.62,NA
MPR,1994-09-27,1.02,NA,2.03,10.54,NA
MPR,1994-10-04,0.85,NA,2.53,12.41,NA
MPR,1994-10-11,0.74,NA,1.84,8.15,NA
MPR,1994-10-18,0.89,NA,2.24,11.49,NA
MPR,1994-10-25,0.65,NA,1.63,6.89,NA
MPR,1994-11-01,0.82,NA,2.29,9.8,NA
MPR,1994-11-08,0.63,NA,1.36,5.86,NA
MPR,1994-11-15,0.73,NA,2.06,9.42,NA
MPR,1994-11-22,0.55,NA,1.39,6.05,NA
MPR,1994-11-29,0.89,80,2.29,6.94,NA
MPR,1994-12-06,0.92,6,2.95,6.41,NA
MPR,1994-12-13,0.6,NA,1.95,8.16,NA
MPR,1994-12-20,0.67,NA,2.22,10.04,NA
MPR,1994-12-27,0.61,NA,2.28,9.25,NA
